horizon,feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,n_obs,pearson_all,spearman_all,spearman_train,spearman_valid,spearman_test,split_ic_std,abs_spearman_all
60d,epsis_fuel_cost_monthly__heat_price_anthracite_krw_per_gcal,EPSIS 발전연료비 열량단가(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.09962406412571755,-0.15891457494835676,0.011731935864445845,-0.029421144148919814,0.16005418825892267,0.08137291942451656,0.15891457494835676
60d,mkt_max_vwap,일별 최고 빈티지 VWAP,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.2123686180103363,-0.15400205982532678,-0.13429809206975094,-0.3634684179860046,-0.12295705896478258,0.11080181062032689,0.15400205982532678
60d,epsis_power_trade_volume_monthly__trade_volume_market_total_gwh,EPSIS 전력거래량 전력거래량(시장 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.1387590553507878,-0.15298769246872382,0.06265875992626681,-0.23098884890916668,-0.31673540880221474,0.16245386557879382,0.15298769246872382
60d,mkt_volume_mean_60d,시장 거래량 로그값 60일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2060,0.19383519110077127,0.1529457692938813,0.15345709467168922,0.35330716895607095,0.02414140304313715,0.1354058515647976,0.1529457692938813
60d,epsis_fuel_cost_monthly__fuel_cost_anthracite_krw_per_kwh,EPSIS 발전연료비 발전연료비(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.09491789718379172,-0.15186477018603445,0.02128686962004844,-0.029421144148919814,0.16231328502535683,0.08111846195756629,0.15186477018603445
60d,kma_asos_weather_station_daily__precip_mm,KMA 관측소 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,0.08214287618802674,0.14936140457789232,0.16563492926693113,0.17177242534081902,0.04052821122105789,0.06047442388516205,0.14936140457789232
60d,kma_asos_weather_daily__precip_mm,KMA 전국 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,0.08214287618802675,0.1493314809031095,0.16556439874555987,0.17174266510735822,0.0405742203342656,0.060429827604435674,0.1493314809031095
60d,mkt_volume_lag_60d,시장 거래량 로그값 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2020,0.041830379781029374,0.14889737155109783,0.19225920065867821,0.10411025440882783,-0.011886493432076237,0.08360020378126491,0.14889737155109783
60d,epsis_power_supply_daily__supply_capacity_mw,EPSIS 전력수급 공급능력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,2074,0.12776588806435138,0.14341753128923027,-0.007140015000761824,0.2312546487528661,0.27142953456714924,0.12294851275719934,0.14341753128923027
60d,epsis_power_supply_daily__reserve_margin_pct,EPSIS 전력수급 공급예비율(%),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,2074,-0.14802012436960166,-0.13584859692088874,-0.1863145881848527,-0.10042447998435777,-0.2434323678767482,0.058775285285065135,0.13584859692088874
60d,epsis_power_trade_volume_monthly__trade_volume_lng_gwh,EPSIS 전력거래량 전력거래량(LNG),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.06516606104973442,-0.13569645497369798,0.05650696258494024,-0.14695075064880198,-0.38242188156240187,0.17935075032911693,0.13569645497369798
60d,krx_auction_monthly__auct_trd_rto,KRX 배출권 경매 경매 체결률,auction,KRX 경매,raw.krx_auction_monthly,1673,0.03959624728758044,0.13404146176028706,0.02839456661691645,-0.2972726827727381,0.03423740111832015,0.15491654805858496,0.13404146176028706
60d,epsis_fuel_cost_monthly__heat_price_oil_krw_per_gcal,EPSIS 발전연료비 열량단가(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.09638795979276321,-0.13182487768740273,0.0016265088476589559,0.07147725134548848,0.03980294328839752,0.02855759903734827,0.13182487768740273
60d,epsis_power_trade_volume_monthly__trade_volume_market_ppa_total_gwh,EPSIS 전력거래량 전력거래량(시장+PPA 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.1264639378162644,-0.12796905358213348,0.08995067389216291,-0.20326747557383198,-0.3056081245087419,0.16763626450444846,0.12796905358213348
60d,epsis_power_trade_volume_monthly__trade_volume_other_gwh,EPSIS 전력거래량 전력거래량(기타),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.16025255257857854,-0.12753051830165346,-0.06714779547958112,-0.23697857582656387,0.07115420337221652,0.12601399677832623,0.12753051830165346
60d,kma_asos_weather_daily__is_precip_day,KMA 전국 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,0.09500506064397829,0.12422913260875278,0.1304265286876872,0.1702919724523986,-0.0042619856604230785,0.07468402610458365,0.12422913260875278
60d,kma_asos_weather_station_daily__is_precip_day,KMA 관측소 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,0.09500506064397829,0.12422913260875278,0.1304265286876872,0.1702919724523986,-0.0042619856604230785,0.07468402610458365,0.12422913260875278
60d,mkt_volume_lag_20d,시장 거래량 로그값 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2060,0.011915805258928942,0.11687630561578091,0.02656176539004563,0.24902819384075284,0.11859531640372903,0.0912714034662577,0.11687630561578091
60d,epsis_fuel_cost_monthly__fuel_price_bituminous_coal_krw_per_ton,EPSIS 발전연료비 연료가격(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.18028514470205015,-0.11604375564868936,0.3448204991698192,-0.023812717170786386,-0.2289178111410417,0.23737785080624535,0.11604375564868936
60d,commodities_monthly__coal_newcastle,원자재 월별 가격 뉴캐슬 석탄 가격,external_market,외부시장,raw.commodities_monthly,2074,-0.15507860239883736,-0.11519805962399872,0.2351411887552502,-0.09621713479429163,-0.12116092271058732,0.16240269762954818,0.11519805962399872
60d,epsis_smp_monthly__smp_jeju_krw_per_kwh,EPSIS SMP 제주 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,2074,-0.199123034152415,-0.11426478415338441,0.3390790518286468,0.009445008776652325,-0.20539646243980078,0.2239218727173348,0.11426478415338441
60d,epsis_fuel_cost_monthly__heat_price_bituminous_coal_krw_per_gcal,EPSIS 발전연료비 열량단가(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.17176631946209497,-0.11131140375494272,0.35363722419946314,-0.01743587127890793,-0.24390818698469108,0.24631629855314083,0.11131140375494272
60d,epsis_fuel_cost_monthly__fuel_cost_bituminous_coal_krw_per_kwh,EPSIS 발전연료비 발전연료비(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.17195783712098753,-0.11117414866549155,0.3508872169830209,-0.01743587127890793,-0.24241968742962608,0.2445614436996838,0.11117414866549155
60d,epsis_power_trade_volume_monthly__trade_volume_renewable_total_gwh,EPSIS 전력거래량 전력거래량(재생에너지 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,0.10427285923196657,0.10474351504429831,0.3609371878061573,0.07407264314091025,0.4132314326109659,0.14909156004896165,0.10474351504429831
60d,mkt_logret_mean_20d,시장 VWAP 로그수익률 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2071,-0.021090712394439978,0.10416626935876944,0.11603162719188646,-0.1733215150791115,-0.011539062406114431,0.11840283582353761,0.10416626935876944
60d,epsis_power_supply_daily__reserve_capacity_mw,EPSIS 전력수급 공급예비력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,2074,-0.11054140300339899,-0.1009613742199215,-0.1819508008180586,-0.03110890465149242,-0.16640656980411744,0.0677416324908199,0.1009613742199215
60d,mkt_volume_mean_20d,시장 거래량 로그값 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2072,0.13553743413092983,0.09972036086191675,-0.06717264353556718,0.4042195349520364,0.14356153142280312,0.1928044701068127,0.09972036086191675
60d,eua_daily__acc_trdvol,EUA 일별 가격 거래량,external_market,외부시장,raw.eua_daily,2063,-0.12074050925593416,-0.09927293300800501,0.04210450446377529,-0.30210191115943136,-0.016974509244311955,0.15028344395388413,0.09927293300800501
60d,mkt_volume_std_60d,시장 거래량 로그값 60일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2060,-0.05643537354283528,-0.09661292686602968,-0.05332641455423935,-0.21884997948550308,-0.42251794448326246,0.15098972602473307,0.09661292686602968
60d,epsis_fuel_cost_monthly__fuel_cost_oil_krw_per_kwh,EPSIS 발전연료비 발전연료비(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.07282307009668637,-0.09536359923939887,0.1139169003427358,0.06645960957445513,0.11909950468257091,0.023687813068706515,0.09536359923939887
60d,mkt_logret_mean_5d,시장 VWAP 로그수익률 5일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,-0.037799523346957214,0.09330748867080849,0.07282556215444602,-0.06973057287338362,0.04885019682707545,0.06232394645845474,0.09330748867080849
60d,eua_daily__hpr,EUA 일별 가격 고가,external_market,외부시장,raw.eua_daily,2074,-0.029170923360463435,-0.09122628438486911,0.22902252096094705,0.1003693024605508,0.32542594504447264,0.0921928914930755,0.09122628438486911
60d,epsis_power_trade_volume_monthly__trade_volume_bio_gwh,EPSIS 전력거래량 전력거래량(바이오),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.03184164030703608,-0.0859418379091475,0.19665886271931518,0.0652441458323204,-0.25664608065050676,0.1904289069452232,0.0859418379091475
60d,eua_daily__clsprc,EUA 일별 가격 종가,external_market,외부시장,raw.eua_daily,2074,-0.02561255263346515,-0.08517647058776057,0.23080343523447,0.1143891295271543,0.3251288224826653,0.08619150991949484,0.08517647058776057
