feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_30d,missing_60d,missing_train,missing_valid,missing_test,abs_ic_30d,abs_ic_60d,max_abs_ic
epsis_power_trade_volume_monthly__trade_volume_solar_gwh,EPSIS 전력거래량 전력거래량(태양광),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.004703128430076292,0.05676104004680411,0.05676104004680411
epsis_power_trade_volume_monthly__trade_volume_coal_total_gwh,EPSIS 전력거래량 전력거래량(석탄 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.05541976114489111,0.012055093531777847,0.05541976114489111
epsis_power_supply_daily__day,EPSIS 전력수급 일자 보조값,power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.05404942468105572,0.05007515629163431,0.05404942468105572
epsis_power_trade_volume_monthly__trade_volume_bituminous_coal_gwh,EPSIS 전력거래량 전력거래량(유연탄),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.053799806052800755,0.01595738084478507,0.053799806052800755
mkt_logret_vol_20d,시장 VWAP 로그수익률 20일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0004775549188156638,0.0014464802314368371,0.006481481481481481,0.0,0.0,0.05183581663866192,0.02332299945043987,0.05183581663866192
mkt_total_trdvol_log1p,시장 총 거래량 로그값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.03520105765980816,0.05090094322969733,0.05090094322969733
mkt_total_trdvol,시장 총 거래량,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.0,0.0,0.0,0.03520105765980816,0.05090094322969733,0.05090094322969733
mkt_logret_mean_60d,시장 VWAP 로그수익률 60일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.05029118786496664,0.04618046687981131,0.05029118786496664
mkt_logret_vol_60d,시장 VWAP 로그수익률 60일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.02509262184404595,0.0430510412827625,0.0430510412827625
mkt_logret_vol_5d,시장 VWAP 로그수익률 5일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.002777777777777778,0.0,0.0,0.03745960101226322,0.04107441889930534,0.04107441889930534
kma_asos_weather_daily__avg_wind_speed_mps,KMA 전국 ASOS 기상 평균 풍속(m/s),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0012820696861055398,0.03973635901650563,0.03973635901650563
kma_asos_weather_station_daily__avg_wind_speed_mps,KMA 관측소 ASOS 기상 평균 풍속(m/s),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0011905392024776805,0.03955445174240882,0.03955445174240882
mkt_logret_lag_20d,시장 VWAP 로그수익률 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.036677858827936165,0.039375719166916394,0.039375719166916394
kma_asos_weather_daily__solar_radiation_mj_m2,KMA 전국 ASOS 기상 일사량(MJ/m²),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.03771369626869726,0.007436014207370967,0.03771369626869726
kma_asos_weather_station_daily__solar_radiation_mj_m2,KMA 관측소 ASOS 기상 일사량(MJ/m²),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.03771261904825747,0.007435872976390969,0.03771261904825747
